Dia;Versículo;Referência
1;Tudo posso Naquele que me fortalece.;Filipenses 4:13
2;Confie no Senhor de todo o seu coração e não se apoie em seu próprio entendimento.;Provérbios 3:5
3;O Senhor é o meu pastor; de nada terei falta.;Salmo 23:1
4;Entrega o teu caminho ao Senhor; confia nele, e ele tudo fará.;Salmo 37:5
5;Portanto, não se preocupem com o amanhã, pois o amanhã trará as suas próprias preocupações. Basta a cada dia o seu próprio mal.;Mateus 6:34
6;Porque a sua ira dura só um momento, mas o seu favor dura a vida toda; o choro pode persistir uma noite, mas de manhã irrompe a alegria.;Salmo 30:5
7;Não te deixes vencer pelo mal, mas vence o mal com o bem.;Romanos 12:21
8;O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha.;1 Coríntios 13:4
9;Alegrem-se sempre no Senhor. Novamente direi: Alegrem-se!;Filipenses 4:4
10;Mas, buscai primeiro o reino de Deus, e a sua justiça, e todas estas coisas vos serão acrescentadas.;Mateus 6:33
11;Tudo o que fizerem, façam de todo o coração, como para o Senhor, e não para os homens.;Colossenses 3:23
12;No mundo tereis aflições, mas tende bom ânimo, eu venci o mundo.;João 16:33
13;Aquele que habita no esconderijo do Altíssimo, à sombra do Onipotente descansará.;Salmo 91:1
14;O Senhor te abençoe e te guarde.;Números 6:24
15;Não se aparte da tua boca o livro desta lei; antes medita nele dia e noite, para que tenhas cuidado de fazer conforme a tudo quanto nele está escrito; porque então farás prosperar o teu caminho, e então prudentemente te conduzirás.;Josué 1:8
16;A esperança não decepciona, porque Deus derramou seu amor em nossos corações, por meio do Espírito Santo que ele nos concedeu.;Romanos 5:5
17;Os planos bem elaborados levam à fartura, mas o apressado sempre acaba na miséria.;Provérbios 21:5
18;Lança o teu pão sobre as águas, porque depois de muitos dias o acharás.;Eclesiastes 11:1
19;Não fui eu que ordenei a você? Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar.;Josué 1:9
20;Deus é o nosso refúgio e a nossa força, socorro que não falta em tempos de aflição.;Salmo 46:1
21;Porquanto, ainda que a figueira não floresça, nem haja fruto na vide; ainda que decepcione o produto da oliveira, e os campos não produzam mantimento; ainda que as ovelhas da malhada sejam arrebatadas, e nos currais não haja gado; Todavia eu me alegrarei no Senhor; exultarei no Deus da minha salvação.;Habacuque 3:17-18
22;E sabemos que todas as coisas contribuem juntamente para o bem daqueles que amam a Deus, daqueles que são chamados segundo o seu propósito.;Romanos 8:28
23;Não se esqueçam de fazer o bem e de repartir com os outros o que vocês têm, pois de tais sacrifícios Deus se agrada.;Hebreus 13:16
24;Mas os que esperam no Senhor renovarão as suas forças. Subirão com asas como águias; correrão e não se cansarão, caminharão e não se fatigarão.;Isaías 40:31
25;Porque Deus amou o mundo de tal maneira que deu o seu Filho unigênito, para que todo aquele que nele crê não pereça, mas tenha a vida eterna.;João 3:16
26;Pois o salário do pecado é a morte, mas o presente gratuito de Deus é a vida eterna em Cristo Jesus, nosso Senhor.;Romanos 6:23
27;Porque onde estiver o vosso tesouro, aí estará também o vosso coração.;Mateus 6:21
28;Pois vocês são salvos pela graça, por meio da fé, e isto não vem de vocês, é dom de Deus.;Efésios 2:8
29;As misericórdias do Senhor são a causa de não sermos consumidos, porque as suas misericórdias não têm fim. Novas são a cada manhã. Grande é a tua fidelidade.;Lamentações 3:22-23
30;Sede fortes e corajosos. Não temais, nem vos atemorizeis diante deles; porque o Senhor vosso Deus é quem vai convosco. Não vos deixará, nem vos desamparará.;Deuteronômio 31:6
31;Não se perturbe o vosso coração. Crede em Deus, crede também em mim.;João 14:1
32;O que é nascido de Deus vence o mundo; e esta é a vitória que vence o mundo: a nossa fé.;1 João 5:4
33;Portanto, se alguém está em Cristo, é nova criação. As coisas antigas já passaram; eis que surgiram coisas novas!;2 Coríntios 5:17
34;Lançai sobre ele toda a vossa ansiedade, porque ele tem cuidado de vós.;1 Pedro 5:7
35;O coração em paz dá vida ao corpo, mas a inveja apodrece os ossos.;Provérbios 14:30
36;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
37;Pois o Senhor, o seu Deus, está com vocês; ele é poderoso para salvar. Ele terá prazer em vocês, com o seu amor os renovará e com canções de alegria se regozijará.;Sofonias 3:17
38;O temor do Senhor é o princípio da sabedoria, e o conhecimento do Santo é entendimento.;Provérbios 9:10
39;Pois onde estiver o seu tesouro, aí também estará o seu coração.;Mateus 6:21
40;Ensina-nos a contar os nossos dias, para que alcancemos um coração sábio.;Salmo 90:12
41;Melhor é o pouco com o temor do Senhor do que grandes tesouros onde há inquietação.;Provérbios 15:16
42;Busquei o Senhor, e ele me respondeu; livrou-me de todos os meus temores.;Salmo 34:4
43;Se confessarmos os nossos pecados, ele é fiel e justo para nos perdoar os pecados e nos purificar de toda injustiça.;1 João 1:9
44;Deus é amor.;1 João 4:8
45;Tende bom ânimo, eu venci o mundo.;João 16:33
46;Se, porém, algum de vós necessita de sabedoria, peça-a a Deus, que a todos dá liberalmente e não censura, e ser-lhe-á concedida.;Tiago 1:5
47;Portanto, meus amados irmãos, sede firmes e constantes, sempre abundantes na obra do Senhor, sabendo que o vosso trabalho não é vão no Senhor.;1 Coríntios 15:58
48;O Senhor é bom, um refúgio em tempos de angústia. Ele protege os que nele confiam.;Naum 1:7
49;O Senhor te guardará de todo o mal; guardará a tua alma.;Salmo 121:7
50;Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar.;Josué 1:9
51;Como é bom render graças ao Senhor e cantar louvores ao teu nome, ó Altíssimo.;Salmo 92:1
52;O Senhor é a minha luz e a minha salvação; a quem temerei?;Salmo 27:1
53;Ame o seu próximo como a si mesmo.;Marcos 12:31
54;O homem que tem muitos amigos pode vir a ruinizar-se, mas há amigo mais chegado do que um irmão.;Provérbios 18:24
55;Para tudo há uma ocasião, e um tempo para cada propósito debaixo do céu.;Eclesiastes 3:1
56;O coração alegre é bom remédio, mas o espírito abatido resseca os ossos.;Provérbios 17:22
57;A vossa palavra seja sempre agradável, temperada com sal, para que saibais como vos convém responder a cada um.;Colossenses 4:6
58;Não vos conformeis com este mundo, mas transformai-vos pela renovação do vosso entendimento, para que experimenteis qual seja a boa, agradável e perfeita vontade de Deus.;Romanos 12:2
59;Por amor de ti, ó Senhor, perdoa o meu pecado, pois é grande.;Salmo 25:11
60;Ainda que eu ande pelo vale da sombra da morte, não temerei mal nenhum, porque tu estás comigo.;Salmo 23:4
61;Eu o instruirei e o ensinarei no caminho que você deve seguir; eu o aconselharei e cuidarei de você.;Salmo 32:8
62;Sejam bondosos e compassivos uns para com os outros, perdoando-se mutuamente, assim como Deus os perdoou em Cristo.;Efésios 4:32
63;Aquele que é a Palavra tornou-se carne e viveu entre nós. Vimos a sua glória, glória como a do Unigênito vindo do Pai, cheio de graça e de verdade.;João 1:14
64;Em sua grande misericórdia ele nos deu novo nascimento para uma esperança viva, pela ressurreição de Jesus Cristo dentre os mortos.;1 Pedro 1:3
65;Honra teu pai e tua mãe, a fim de que tenhas vida longa na terra que o Senhor, o teu Deus, te dá.;Êxodo 20:12
66;O fruto do Espírito é amor, alegria, paz, paciência, amabilidade, bondade, fidelidade, mansidão e domínio próprio.;Gálatas 5:22-23
67;E a paz de Deus, que excede todo o entendimento, guardará o vosso coração e a vossa mente em Cristo Jesus.;Filipenses 4:7
68;Não te deixes vencer pelo mal, mas vence o mal com o bem.;Romanos 12:21
69;Se o meu povo, que se chama pelo meu nome, se humilhar e orar, buscar a minha face e se afastar dos seus maus caminhos, dos céus eu os ouvirei, perdoarei os seus pecados e curarei a sua terra.;2 Crónicas 7:14
70;Aquietai-vos, e sabei que eu sou Deus; serei exaltado entre as nações, serei exaltado na terra.;Salmo 46:10
71;A vossa fé não se apoiasse em sabedoria humana, mas no poder de Deus.;1 Coríntios 2:5
72;Feliz é o homem que não anda segundo o conselho dos ímpios, não se detém no caminho dos pecadores, nem se assenta na roda dos escarnecedores.;Salmo 1:1
73;O ladrão não vem senão a roubar, a matar, e a destruir; eu vim para que tenham vida, e a tenham com abundância.;João 10:10
74;E tudo o que pedirdes na oração, crendo, o recebereis.;Mateus 21:22
75;Deus é Fiel, o qual vos chamou à comunhão de seu Filho Jesus Cristo, nosso Senhor.;1 Coríntios 1:9
76;Sejam cheios do Espírito.;Efésios 5:18
77;A vossa palavra seja sempre agradável, temperada com sal, para que saibais como vos convém responder a cada um.;Colossenses 4:6
78;O Senhor é bom para com aqueles cuja esperança está nele, para com aqueles que o buscam.;Lamentações 3:25
79;Não retenhas o bem de quem o merece, quando estiver ao teu alcance fazê-lo.;Provérbios 3:27
80;Ame o Senhor, o seu Deus, com todo o seu coração, com toda a sua alma e com todas as suas forças.;Deuteronômio 6:5
81;Regozijai-vos sempre.;1 Tessalonicenses 5:16
82;Orai sem cessar.;1 Tessalonicenses 5:17
83;Em tudo dai graças, porque esta é a vontade de Deus em Cristo Jesus para convosco.;1 Tessalonicenses 5:18
84;Ele cura os de coração quebrantado e cuida das suas feridas.;Salmo 147:3
85;O coração do homem planeja o seu caminho, mas o Senhor lhe dirige os passos.;Provérbios 16:9
86;Os que confiam no Senhor são como o monte Sião, que não pode ser abalado, mas permanece para sempre.;Salmo 125:1
87;Mas ele foi ferido por causa das nossas transgressões, e moído por causa das nossas iniquidades; o castigo que nos traz a paz estava sobre ele, e pelas suas pisaduras fomos sarados.;Isaías 53:5
88;Bendito o homem que confia no Senhor, e cuja confiança é o Senhor.;Jeremias 17:7
89;O Senhor é justo em todos os seus caminhos e bondoso em tudo o que faz.;Salmo 145:17
90;Portanto, vão e façam discípulos de todas as nações, batizando-os em nome do Pai e do Filho e do Espírito Santo.;Mateus 28:19
91;E ele nos disse: "Vão pelo mundo todo e preguem o evangelho a todas as pessoas".;Marcos 16:15
92;Porque onde estiverem dois ou três reunidos em meu nome, ali estou eu no meio deles.;Mateus 18:20
93;Assim, a fé vem por se ouvir a mensagem, e a mensagem é ouvida mediante a palavra de Cristo.;Romanos 10:17
94;Aquele que pratica o pecado é do diabo, porque o diabo vive pecando desde o princípio. Para isto se manifestou o Filho de Deus: para destruir as obras do diabo.;1 João 3:8
95;Combati o bom combate, terminei a corrida, guardei a fé.;2 Timóteo 4:7
96;Seja a vossa vida sem avareza. Contentai-vos com o que tendes; porque ele disse: "De maneira alguma te deixarei, nunca jamais te abandonarei".;Hebreus 13:5
97;Mas a vereda dos justos é como a luz da aurora, que vai brilhando mais e mais até ser dia perfeito.;Provérbios 4:18
98;O temor do Senhor conduz à vida: quem o teme pode repousar em paz, livre de problemas.;Provérbios 19:23
99;O caminho de Deus é perfeito; a palavra do Senhor é provada.;Salmo 18:30
100;Porque o Senhor Deus é sol e escudo; o Senhor concede favor e honra; não nega bem algum aos que andam na retidão.;Salmo 84:11
101;Ele faz com que o solitário more em família; liberta aqueles que estão presos em grilhões; mas os rebeldes habitam em terra seca.;Salmo 68:6
102;O Senhor é compassivo e misericordioso, mui paciente e cheio de amor.;Salmo 103:8
103;Mas, se andarmos na luz, como ele na luz está, temos comunhão uns com os outros, e o sangue de Jesus Cristo, seu Filho, nos purifica de todo o pecado.;1 João 1:7
104;Mas Deus demonstra seu amor por nós: Cristo morreu em nosso favor quando ainda éramos pecadores.;Romanos 5:8
105;Em paz me deito e logo adormeço, pois só tu, Senhor, me fazes viver em segurança.;Salmo 4:8
106;Deleita-te também no Senhor, e ele te concederá o que deseja o teu coração.;Salmo 37:4
107;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
108;Como a corça anseia por águas correntes, a minha alma anseia por ti, ó Deus.;Salmo 42:1
109;O Senhor é a minha força e o meu cântico; ele é a minha salvação. Ele é o meu Deus, e eu o louvarei, é o Deus de meu pai, e eu o exaltarei.;Êxodo 15:2
110;O Senhor não se atrasa em cumprir a sua promessa, como julgam alguns. Ao contrário, ele é paciente com vocês, não querendo que ninguém pereça, mas que todos cheguem ao arrependimento.;2 Pedro 3:9
111;Portanto, submetam-se a Deus. Resistam ao diabo, e ele fugirá de vocês.;Tiago 4:7
112;O coração do sábio é instruído, e a sua boca promove o saber.;Provérbios 16:23
113;Eu sou o pão da vida. Quem vem a mim, nunca mais terá fome; e quem crê em mim, nunca mais terá sede.;João 6:35
114;A tua palavra é lâmpada que ilumina os meus passos e luz que clareia o meu caminho.;Salmo 119:105
115;Deus é fiel, e ele não permitirá que vocês sejam tentados além do que podem suportar. Mas, quando forem tentados, ele lhes providenciará um escape, para que o possam suportar.;1 Coríntios 10:13
116;O Senhor é a minha rocha, a minha fortaleza e o meu libertador; o meu Deus é o meu rochedo, em quem me refúgio. Ele é o meu escudo e o poder que me salva, a minha torre alta.;Salmo 18:2
117;Não andem ansiosos por coisa alguma, mas em tudo, pela oração e súplicas, e com ação de graças, apresentem seus pedidos a Deus.;Filipenses 4:6
118;Mas o anjo lhes disse: "Não tenham medo. Estou lhes trazendo boas-novas de grande alegria, que são para todo o povo: Hoje, na cidade de Davi, lhes nasceu o Salvador, que é Cristo, o Senhor.;Lucas 2:10-11
119;Aquele que tem os meus mandamentos e lhes obedece, esse é o que me ama. Aquele que me ama será amado por meu Pai, e eu também o amarei e me revelarei a ele.;João 14:21
120;E a oração feita com fé curará o doente, e o Senhor o levantará. E, se tiver cometido pecados, ele será perdoado.;Tiago 5:15
121;Instrua a criança no caminho em que deve andar, e até quando envelhecer não se desviará dele.;Provérbios 22:6
122;Pois vocês são templo do Deus vivo.;2 Coríntios 6:16
123;O meu Deus suprirá todas as necessidades de vocês, de acordo com as suas gloriosas riquezas em Cristo Jesus.;Filipenses 4:19
124;Tu és o meu refúgio e o meu escudo; na tua palavra pus a minha esperança.;Salmo 119:114
125;Porquanto o salário do pecado é a morte, mas o dom gratuito de Deus é a vida eterna em Cristo Jesus nosso Senhor.;Romanos 6:23
126;Seja feita a tua vontade, assim na terra como no céu.;Mateus 6:10
127;Louvem o Senhor! Louvem a Deus no seu santuário; louvem-no em seu magnífico firmamento.;Salmo 150:1
128;Ainda que o meu pai e a minha mãe me abandonem, o Senhor me acolherá.;Salmo 27:10
129;Em amor nos predestinou para sermos adotados como seus filhos por meio de Jesus Cristo, conforme o bom propósito da sua vontade.;Efésios 1:5
130;Fiquem firmes, e não se deixem prender de novo a um jugo de escravidão.;Gálatas 5:1
131;Bem-aventurados os que choram, pois serão consolados.;Mateus 5:4
132;E sabemos que Deus faz com que todas as coisas cooperem para o bem daqueles que o amam e que são chamados de acordo com o seu propósito.;Romanos 8:28
133;Pois onde estiverem dois ou três reunidos em meu nome, ali estou eu no meio deles.;Mateus 18:20
134;O Senhor é bom, um refúgio em tempos de angústia. Ele protege os que nele confiam.;Naum 1:7
135;Não se deixem enganar: de Deus não se zomba. Pois o que o homem semear, isso também colherá.;Gálatas 6:7
136;O Senhor é a minha força e o meu escudo; nele o meu coração confia, e dele recebo ajuda. Meu coração exulta de alegria, e com o meu cântico lhe darei graças.;Salmo 28:7
137;E tudo o que pedirem em meu nome, eu o farei, para que o Pai seja glorificado no Filho.;João 14:13
138;Porque para Deus nada é impossível.;Lucas 1:37
139;O Senhor te abençoe e te guarde; o Senhor faça resplandecer o seu rosto sobre ti e te conceda graça; o Senhor volte para ti o seu rosto e te dê a paz.;Números 6:24-26
140;Onde não há conselho, os projetos saem vãos, mas, com a multidão de conselheiros, se confirmarão.;Provérbios 15:22
141;A glória do Senhor é a minha recompensa.;Isaías 58:8
142;Não te priveis de fazer o bem, quando está na tua mão fazê-lo.;Provérbios 3:27
143;Cria em mim, ó Deus, um coração puro, e renova em mim um espírito reto.;Salmo 51:10
144;Pois o reino de Deus não é comida nem bebida, mas justiça, paz e alegria no Espírito Santo.;Romanos 14:17
145;Não amemos de palavra nem de boca, mas sim com ações e em verdade.;1 João 3:18
146;O Senhor é a minha rocha, a minha fortaleza e o meu libertador; o meu Deus é o meu rochedo, em quem me refúgio. Ele é o meu escudo e o poder que me salva, a minha torre alta.;Salmo 18:2
147;E tudo o que pedirdes na oração, crendo, o recebereis.;Mateus 21:22
148;O Senhor te guiará constantemente, e fartará a tua alma em lugares secos, e fortificará os teus ossos; e serás como um jardim regado, e como um manancial, cujas águas nunca faltam.;Isaías 58:11
149;Aquele que habita no esconderijo do Altíssimo, à sombra do Onipotente descansará.;Salmo 91:1
150;Não vos inquieteis, pois, pelo dia de amanhã, porque o dia de amanhã cuidará de si mesmo. Basta a cada dia o seu mal.;Mateus 6:34
151;O temor do Senhor é o princípio da sabedoria, e o conhecimento do Santo é entendimento.;Provérbios 9:10
152;Em paz me deito e logo adormeço, pois só tu, Senhor, me fazes viver em segurança.;Salmo 4:8
153;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
154;O ladrão não vem senão a roubar, a matar, e a destruir; eu vim para que tenham vida, e a tenham com abundância.;João 10:10
155;Deleita-te também no Senhor, e ele te concederá o que deseja o teu coração.;Salmo 37:4
156;Aquele que tem os meus mandamentos e lhes obedece, esse é o que me ama.;João 14:21
157;O Senhor te guiará constantemente, e fartará a tua alma em lugares secos, e fortificará os teus ossos.;Isaías 58:11
158;Jesus olhou para eles e respondeu: "Para o homem é impossível, mas para Deus todas as coisas são possíveis".;Mateus 19:26
159;Mas, buscai primeiro o reino de Deus, e a sua justiça, e todas estas coisas vos serão acrescentadas.;Mateus 6:33
160;Porque a sua ira dura só um momento, mas o seu favor dura a vida toda; o choro pode persistir uma noite, mas de manhã irrompe a alegria.;Salmo 30:5
161;Aquele que não ama, não conhece a Deus; porque Deus é amor.;1 João 4:8
162;Porque somos criação de Deus, realizados em Cristo Jesus para fazermos boas obras, as quais Deus preparou antes para nós as praticarmos.;Efésios 2:10
163;A vossa fé não se apoiasse em sabedoria humana, mas no poder de Deus.;1 Coríntios 2:5
164;O Senhor é bom, um refúgio em tempos de angústia. Ele protege os que nele confiam.;Naum 1:7
165;Tudo o que fizerem, façam de todo o coração, como para o Senhor, e não para os homens.;Colossenses 3:23
166;Confie no Senhor de todo o seu coração e não se apoie em seu próprio entendimento.;Provérbios 3:5
167;Sejam bondosos e compassivos uns para com os outros, perdoando-se mutuamente, assim como Deus os perdoou em Cristo.;Efésios 4:32
168;O Senhor te guardará de todo o mal; guardará a tua alma.;Salmo 121:7
169;Bem-aventurados os que choram, pois serão consolados.;Mateus 5:4
