Dia;Versículo;Referência
170;Portanto, vão e façam discípulos de todas as nações, batizando-os em nome do Pai e do Filho e do Espírito Santo.;Mateus 28:19
171;O Senhor é a minha luz e a minha salvação; a quem temerei?;Salmo 27:1
172;Pois vocês são templo do Deus vivo.;2 Coríntios 6:16
173;Ele faz com que o solitário more em família; liberta aqueles que estão presos em grilhões.;Salmo 68:6
174;Aquele que é a Palavra tornou-se carne e viveu entre nós. Vimos a sua glória, glória como a do Unigênito vindo do Pai, cheio de graça e de verdade.;João 1:14
175;A tua palavra é lâmpada que ilumina os meus passos e luz que clareia o meu caminho.;Salmo 119:105
176;O caminho de Deus é perfeito; a palavra do Senhor é provada.;Salmo 18:30
177;Não te deixes vencer pelo mal, mas vence o mal com o bem.;Romanos 12:21
178;O homem que tem muitos amigos pode vir a ruinizar-se, mas há amigo mais chegado do que um irmão.;Provérbios 18:24
179;Deus é fiel, e ele não permitirá que vocês sejam tentados além do que podem suportar. Mas, quando forem tentados, ele lhes providenciará um escape, para que o possam suportar.;1 Coríntios 10:13
180;E a paz de Deus, que excede todo o entendimento, guardará o vosso coração e a vossa mente em Cristo Jesus.;Filipenses 4:7
181;Ame o Senhor, o seu Deus, com todo o seu coração, com toda a sua alma e com todas as suas forças.;Deuteronômio 6:5
182;Aquele que não ama, não conhece a Deus; porque Deus é amor.;1 João 4:8
183;O Senhor é compassivo e misericordioso, mui paciente e cheio de amor.;Salmo 103:8
184;Assim, a fé vem por se ouvir a mensagem, e a mensagem é ouvida mediante a palavra de Cristo.;Romanos 10:17
185;Se confessarmos os nossos pecados, ele é fiel e justo para nos perdoar os pecados e nos purificar de toda injustiça.;1 João 1:9
186;Eu o instruirei e o ensinarei no caminho que você deve seguir; eu o aconselharei e cuidarei de você.;Salmo 32:8
187;Portanto, submetam-se a Deus. Resistam ao diabo, e ele fugirá de vocês.;Tiago 4:7
188;Os que confiam no Senhor são como o monte Sião, que não pode ser abalado, mas permanece para sempre.;Salmo 125:1
189;Cria em mim, ó Deus, um coração puro, e renova em mim um espírito reto.;Salmo 51:10
190;O fruto do Espírito é amor, alegria, paz, paciência, amabilidade, bondade, fidelidade, mansidão e domínio próprio.;Gálatas 5:22-23
191;O Senhor é a minha força e o meu cântico; ele é a minha salvação.;Êxodo 15:2
192;Honra teu pai e tua mãe, a fim de que tenhas vida longa na terra que o Senhor, o teu Deus, te dá.;Êxodo 20:12
193;Em sua grande misericórdia ele nos deu novo nascimento para uma esperança viva, pela ressurreição de Jesus Cristo dentre os mortos.;1 Pedro 1:3
194;Não vos conformeis com este mundo, mas transformai-vos pela renovação do vosso entendimento.;Romanos 12:2
195;O homem que tem muitos amigos pode vir a ruinizar-se, mas há amigo mais chegado do que um irmão.;Provérbios 18:24
196;Tu és o meu refúgio e o meu escudo; na tua palavra pus a minha esperança.;Salmo 119:114
197;Alegrai-vos sempre no Senhor. Novamente direi: Alegrai-vos!;Filipenses 4:4
198;Pois a palavra de Deus é viva e eficaz, e mais afiada que qualquer espada de dois gumes.;Hebreus 4:12
199;Assim, pois, a fé é pelo ouvir, e o ouvir pela palavra de Deus.;Romanos 10:17
200;O Senhor não se atrasa em cumprir a sua promessa, como julgam alguns. Ao contrário, ele é paciente com vocês.;2 Pedro 3:9
201;Sejam cheios do Espírito.;Efésios 5:18
202;O coração do sábio é instruído, e a sua boca promove o saber.;Provérbios 16:23
203;E a oração feita com fé curará o doente, e o Senhor o levantará.;Tiago 5:15
204;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
205;Instrua a criança no caminho em que deve andar, e até quando envelhecer não se desviará dele.;Provérbios 22:6
206;Deus é o nosso refúgio e a nossa força, socorro que não falta em tempos de aflição.;Salmo 46:1
207;Eu sou o pão da vida. Quem vem a mim, nunca mais terá fome; e quem crê em mim, nunca mais terá sede.;João 6:35
208;Mas, se andarmos na luz, como ele na luz está, temos comunhão uns com os outros.;1 João 1:7
209;Se o meu povo, que se chama pelo meu nome, se humilhar e orar, buscar a minha face e se afastar dos seus maus caminhos, dos céus eu os ouvirei, perdoarei os seus pecados e curarei a sua terra.;2 Crónicas 7:14
210;O Senhor é justo em todos os seus caminhos e bondoso em tudo o que faz.;Salmo 145:17
211;Combati o bom combate, terminei a corrida, guardei a fé.;2 Timóteo 4:7
212;O Senhor é bom para com aqueles cuja esperança está nele, para com aqueles que o buscam.;Lamentações 3:25
213;A vossa palavra seja sempre agradável, temperada com sal.;Colossenses 4:6
214;O coração alegre é bom remédio, mas o espírito abatido resseca os ossos.;Provérbios 17:22
215;O meu Deus suprirá todas as necessidades de vocês, de acordo com as suas gloriosas riquezas em Cristo Jesus.;Filipenses 4:19
216;Para tudo há uma ocasião, e um tempo para cada propósito debaixo do céu.;Eclesiastes 3:1
217;Seja a vossa vida sem avareza. Contentai-vos com o que tendes.;Hebreus 13:5
218;O temor do Senhor conduz à vida: quem o teme pode repousar em paz, livre de problemas.;Provérbios 19:23
219;Ele faz com que o solitário more em família; liberta aqueles que estão presos em grilhões.;Salmo 68:6
220;O Senhor te guardará de todo o mal; guardará a tua alma.;Salmo 121:7
221;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
222;Como a corça anseia por águas correntes, a minha alma anseia por ti, ó Deus.;Salmo 42:1
223;Não amemos de palavra nem de boca, mas sim com ações e em verdade.;1 João 3:18
224;E tudo o que pedirdes na oração, crendo, o recebereis.;Mateus 21:22
225;O Senhor é a minha rocha, a minha fortaleza e o meu libertador; o meu Deus é o meu rochedo, em quem me refúgio.;Salmo 18:2
226;Mas os que esperam no Senhor renovarão as suas forças. Subirão com asas como águias.;Isaías 40:31
227;Porque para Deus nada é impossível.;Lucas 1:37
228;Ainda que o meu pai e a minha mãe me abandonem, o Senhor me acolherá.;Salmo 27:10
229;O Senhor te guiará constantemente, e fartará a tua alma em lugares secos.;Isaías 58:11
230;Porquanto o salário do pecado é a morte, mas o dom gratuito de Deus é a vida eterna em Cristo Jesus nosso Senhor.;Romanos 6:23
231;Em amor nos predestinou para sermos adotados como seus filhos por meio de Jesus Cristo.;Efésios 1:5
232;Onde não há conselho, os projetos saem vãos, mas, com a multidão de conselheiros, se confirmarão.;Provérbios 15:22
233;Tu conservarás em paz aquele cuja mente está firme em ti, porque ele confia em ti.;Isaías 26:3
234;Deus é Fiel, o qual vos chamou à comunhão de seu Filho Jesus Cristo, nosso Senhor.;1 Coríntios 1:9
235;Não se perturbe o vosso coração. Crede em Deus, crede também em mim.;João 14:1
236;Fiquem firmes, e não se deixem prender de novo a um jugo de escravidão.;Gálatas 5:1
237;Pois o reino de Deus não é comida nem bebida, mas justiça, paz e alegria no Espírito Santo.;Romanos 14:17
238;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
239;Porque somos criação de Deus, realizados em Cristo Jesus para fazermos boas obras.;Efésios 2:10
240;O fruto do Espírito é amor, alegria, paz, paciência, amabilidade, bondade, fidelidade, mansidão e domínio próprio.;Gálatas 5:22-23
241;A glória do Senhor é a minha recompensa.;Isaías 58:8
242;A vossa palavra seja sempre agradável, temperada com sal.;Colossenses 4:6
243;O homem que tem muitos amigos pode vir a ruinizar-se, mas há amigo mais chegado do que um irmão.;Provérbios 18:24
244;Tudo o que fizerem, façam de todo o coração, como para o Senhor, e não para os homens.;Colossenses 3:23
245;O coração do homem planeja o seu caminho, mas o Senhor lhe dirige os passos.;Provérbios 16:9
246;Ainda que eu ande pelo vale da sombra da morte, não temerei mal nenhum, porque tu estás comigo.;Salmo 23:4
247;Pois a palavra de Deus é viva e eficaz, e mais afiada que qualquer espada de dois gumes.;Hebreus 4:12
248;Eu sou o pão da vida. Quem vem a mim, nunca mais terá fome.;João 6:35
249;O Senhor é bom para com aqueles cuja esperança está nele, para com aqueles que o buscam.;Lamentações 3:25
250;Pois onde estiver o seu tesouro, aí também estará o seu coração.;Mateus 6:21
251;Ame o seu próximo como a si mesmo.;Marcos 12:31
252;O Senhor é a minha força e o meu escudo; nele o meu coração confia, e dele recebo ajuda.;Salmo 28:7
253;O Senhor é o meu pastor; de nada terei falta.;Salmo 23:1
254;Ele cura os de coração quebrantado e cuida das suas feridas.;Salmo 147:3
255;Portanto, não se preocupem com o amanhã, pois o amanhã trará as suas próprias preocupações.;Mateus 6:34
256;O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha.;1 Coríntios 13:4
257;Tudo posso Naquele que me fortalece.;Filipenses 4:13
258;O temor do Senhor é o princípio da sabedoria.;Provérbios 9:10
259;Não te deixes vencer pelo mal, mas vence o mal com o bem.;Romanos 12:21
260;E a paz de Deus, que excede todo o entendimento, guardará o vosso coração e a vossa mente em Cristo Jesus.;Filipenses 4:7
261;O meu Deus suprirá todas as necessidades de vocês, de acordo com as suas gloriosas riquezas em Cristo Jesus.;Filipenses 4:19
262;E ele nos disse: "Vão pelo mundo todo e preguem o evangelho a todas as pessoas".;Marcos 16:15
263;O Senhor te abençoe e te guarde.;Números 6:24
264;Não vos conformeis com este mundo, mas transformai-vos pela renovação do vosso entendimento.;Romanos 12:2
265;Deus é fiel, e ele não permitirá que vocês sejam tentados além do que podem suportar.;1 Coríntios 10:13
266;O homem que tem muitos amigos pode vir a ruinizar-se, mas há amigo mais chegado do que um irmão.;Provérbios 18:24
267;Aquele que tem os meus mandamentos e lhes obedece, esse é o que me ama.;João 14:21
268;Sejam bondosos e compassivos uns para com os outros, perdoando-se mutuamente.;Efésios 4:32
269;O Senhor é justo em todos os seus caminhos e bondoso em tudo o que faz.;Salmo 145:17
270;Eu o instruirei e o ensinarei no caminho que você deve seguir.;Salmo 32:8
271;Tu és o meu refúgio e o meu escudo; na tua palavra pus a minha esperança.;Salmo 119:114
272;Não se perturbe o vosso coração. Crede em Deus, crede também em mim.;João 14:1
273;A vossa palavra seja sempre agradável, temperada com sal.;Colossenses 4:6
274;Pois vocês são templo do Deus vivo.;2 Coríntios 6:16
275;Em paz me deito e logo adormeço, pois só tu, Senhor, me fazes viver em segurança.;Salmo 4:8
276;O caminho de Deus é perfeito; a palavra do Senhor é provada.;Salmo 18:30
277;Em tudo dai graças, porque esta é a vontade de Deus em Cristo Jesus para convosco.;1 Tessalonicenses 5:18
278;O temor do Senhor conduz à vida: quem o teme pode repousar em paz.;Provérbios 19:23
279;Aquele que não ama, não conhece a Deus; porque Deus é amor.;1 João 4:8
280;O Senhor é a minha luz e a minha salvação; a quem temerei?;Salmo 27:1
281;Ensina-nos a contar os nossos dias, para que alcancemos um coração sábio.;Salmo 90:12
282;Portanto, submetam-se a Deus. Resistam ao diabo, e ele fugirá de vocês.;Tiago 4:7
283;Deleita-te também no Senhor, e ele te concederá o que deseja o teu coração.;Salmo 37:4
284;Pois onde estiverem dois ou três reunidos em meu nome, ali estou eu no meio deles.;Mateus 18:20
285;Consagre ao Senhor tudo o que você faz, e os seus planos serão bem-sucedidos.;Provérbios 16:3
286;Jesus olhou para eles e respondeu: "Para o homem é impossível, mas para Deus todas as coisas são possíveis".;Mateus 19:26
287;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
288;O coração do homem planeja o seu caminho, mas o Senhor lhe dirige os passos.;Provérbios 16:9
289;Em sua grande misericórdia ele nos deu novo nascimento para uma esperança viva.;1 Pedro 1:3
290;Ainda que o meu pai e a minha mãe me abandonem, o Senhor me acolherá.;Salmo 27:10
291;O Senhor é compassivo e misericordioso, mui paciente e cheio de amor.;Salmo 103:8
292;Mas, buscai primeiro o reino de Deus, e a sua justiça, e todas estas coisas vos serão acrescentadas.;Mateus 6:33
293;E a oração feita com fé curará o doente, e o Senhor o levantará.;Tiago 5:15
294;Ame o Senhor, o seu Deus, com todo o seu coração, com toda a sua alma e com todas as suas forças.;Deuteronômio 6:5
295;Se confessarmos os nossos pecados, ele é fiel e justo para nos perdoar os pecados e nos purificar de toda injustiça.;1 João 1:9
296;O ladrão não vem senão a roubar, a matar, e a destruir; eu vim para que tenham vida, e a tenham com abundância.;João 10:10
297;Não andem ansiosos por coisa alguma, mas em tudo, pela oração e súplicas, e com ação de graças, apresentem seus pedidos a Deus.;Filipenses 4:6
298;Assim, a fé vem por se ouvir a mensagem, e a mensagem é ouvida mediante a palavra de Cristo.;Romanos 10:17
299;O Senhor te guiará constantemente, e fartará a tua alma em lugares secos.;Isaías 58:11
300;Bem-aventurados os que choram, pois serão consolados.;Mateus 5:4
301;Aquele que habita no esconderijo do Altíssimo, à sombra do Onipotente descansará.;Salmo 91:1
302;Os que confiam no Senhor são como o monte Sião, que não pode ser abalado, mas permanece para sempre.;Salmo 125:1
303;Tudo o que fizerem, façam de todo o coração, como para o Senhor, e não para os homens.;Colossenses 3:23
304;O fruto do Espírito é amor, alegria, paz, paciência, amabilidade, bondade, fidelidade, mansidão e domínio próprio.;Gálatas 5:22-23
305;O meu Deus suprirá todas as necessidades de vocês, de acordo com as suas gloriosas riquezas em Cristo Jesus.;Filipenses 4:19
306;O Senhor é a minha força e o meu cântico; ele é a minha salvação.;Êxodo 15:2
307;Cria em mim, ó Deus, um coração puro, e renova em mim um espírito reto.;Salmo 51:10
308;Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar.;Josué 1:9
309;Combati o bom combate, terminei a corrida, guardei a fé.;2 Timóteo 4:7
310;Honra teu pai e tua mãe, a fim de que tenhas vida longa na terra que o Senhor, o teu Deus, te dá.;Êxodo 20:12
311;Não te deixes vencer pelo mal, mas vence o mal com o bem.;Romanos 12:21
312;Pois onde estiver o seu tesouro, aí também estará o seu coração.;Mateus 6:21
313;Pois a palavra de Deus é viva e eficaz, e mais afiada que qualquer espada de dois gumes.;Hebreus 4:12
314;Eu o instruirei e o ensinarei no caminho que você deve seguir.;Salmo 32:8
315;O Senhor é bom, um refúgio em tempos de angústia. Ele protege os que nele confiam.;Naum 1:7
316;Instrua a criança no caminho em que deve andar, e até quando envelhecer não se desviará dele.;Provérbios 22:6
317;Porquanto o salário do pecado é a morte, mas o dom gratuito de Deus é a vida eterna em Cristo Jesus nosso Senhor.;Romanos 6:23
318;Portanto, vão e façam discípulos de todas as nações, batizando-os em nome do Pai e do Filho e do Espírito Santo.;Mateus 28:19
319;Alegrai-vos sempre no Senhor. Novamente direi: Alegrai-vos!;Filipenses 4:4
320;O Senhor te guardará de todo o mal; guardará a tua alma.;Salmo 121:7
321;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
322;O que é nascido de Deus vence o mundo; e esta é a vitória que vence o mundo: a nossa fé.;1 João 5:4
323;Para tudo há uma ocasião, e um tempo para cada propósito debaixo do céu.;Eclesiastes 3:1
324;O coração alegre é bom remédio, mas o espírito abatido resseca os ossos.;Provérbios 17:22
325;Se o meu povo, que se chama pelo meu nome, se humilhar e orar, buscar a minha face e se afastar dos seus maus caminhos, dos céus eu os ouvirei.;2 Crónicas 7:14
326;O Senhor é justo em todos os seus caminhos e bondoso em tudo o que faz.;Salmo 145:17
327;Tu conservarás em paz aquele cuja mente está firme em ti, porque ele confia em ti.;Isaías 26:3
328;A tua palavra é lâmpada que ilumina os meus passos e luz que clareia o meu caminho.;Salmo 119:105
329;Em tudo dai graças, porque esta é a vontade de Deus em Cristo Jesus para convosco.;1 Tessalonicenses 5:18
330;Ame o seu próximo como a si mesmo.;Marcos 12:31
331;Lançai sobre ele toda a vossa ansiedade, porque ele tem cuidado de vós.;1 Pedro 5:7
332;Mas, se andarmos na luz, como ele na luz está, temos comunhão uns com os outros.;1 João 1:7
333;O Senhor é a minha rocha, a minha fortaleza e o meu libertador.;Salmo 18:2
334;Sejam cheios do Espírito.;Efésios 5:18
335;A glória do Senhor é a minha recompensa.;Isaías 58:8
336;O Senhor é bom para com aqueles cuja esperança está nele, para com aqueles que o buscam.;Lamentações 3:25
337;Como a corça anseia por águas correntes, a minha alma anseia por ti, ó Deus.;Salmo 42:1
338;O homem que tem muitos amigos pode vir a ruinizar-se, mas há amigo mais chegado do que um irmão.;Provérbios 18:24
339;Deus é fiel, e ele não permitirá que vocês sejam tentados além do que podem suportar.;1 Coríntios 10:13
340;A vossa fé não se apoiasse em sabedoria humana, mas no poder de Deus.;1 Coríntios 2:5
341;O coração do sábio é instruído, e a sua boca promove o saber.;Provérbios 16:23
342;O Senhor é compassivo e misericordioso, mui paciente e cheio de amor.;Salmo 103:8
343;Pois o reino de Deus não é comida nem bebida, mas justiça, paz e alegria no Espírito Santo.;Romanos 14:17
344;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
345;O Senhor não se atrasa em cumprir a sua promessa, como julgam alguns. Ao contrário, ele é paciente com vocês.;2 Pedro 3:9
346;Tudo posso Naquele que me fortalece.;Filipenses 4:13
347;Aquele que é a Palavra tornou-se carne e viveu entre nós.;João 1:14
348;Para que, sendo justificados pela sua graça, sejamos feitos herdeiros segundo a esperança da vida eterna.;Tito 3:7
349;Louvem o Senhor! Louvem a Deus no seu santuário; louvem-no em seu magnífico firmamento.;Salmo 150:1
350;O salário do pecado é a morte, mas o presente gratuito de Deus é a vida eterna em Cristo Jesus, nosso Senhor.;Romanos 6:23
351;Onde não há conselho, os projetos saem vãos, mas, com a multidão de conselheiros, se confirmarão.;Provérbios 15:22
352;Sede fortes e corajosos. Não temais, nem vos atemorizeis diante deles; porque o Senhor vosso Deus é quem vai convosco.;Deuteronômio 31:6
353;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
354;O coração alegre é bom remédio, mas o espírito abatido resseca os ossos.;Provérbios 17:22
355;O homem que tem muitos amigos pode vir a ruinizar-se, mas há amigo mais chegado do que um irmão.;Provérbios 18:24
356;O Senhor é o meu pastor; de nada terei falta.;Salmo 23:1
357;Em paz me deito e logo adormeço, pois só tu, Senhor, me fazes viver em segurança.;Salmo 4:8
358;Tudo o que fizerem, façam de todo o coração, como para o Senhor, e não para os homens.;Colossenses 3:23
359;Aquele que tem os meus mandamentos e lhes obedece, esse é o que me ama.;João 14:21
360;O Senhor te guiará constantemente, e fartará a tua alma em lugares secos.;Isaías 58:11
361;Jesus olhou para eles e respondeu: "Para o homem é impossível, mas para Deus todas as coisas são possíveis".;Mateus 19:26
362;Confie no Senhor de todo o seu coração e não se apoie em seu próprio entendimento.;Provérbios 3:5
363;Deus é o nosso refúgio e a nossa força, socorro que não falta em tempos de aflição.;Salmo 46:1
364;As misericórdias do Senhor são a causa de não sermos consumidos, porque as suas misericórdias não têm fim. Novas são a cada manhã.;Lamentações 3:22-23
365;Este é o dia em que o Senhor agiu; alegremo-nos e exultemos neste dia.;Salmo 118:24
